Fiber,pCa,Act_percent,M_length,sarc_length,M_area,ISI,ISI_code,Cond_Amp,CA_code,SRS,SRS_UC,Impulse,Impulse_UC,back_L,back_F,backFpercentUC,F_tZero,SRS_CO,SRS_CO_UC,Impulse_CO,Impulse_CO_UC
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,1,e1000,3.83,f383,232330.8267,94.70828589,1126172.348,107.9163471,0.000429966,10223.85279,108.7374536,10431.86415,232330.8267,94.70828589,1126172.348,107.9163471
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,3.162,f3162,3.83,f383,243375.2065,99.21046191,1128984.613,108.1858346,0.000430016,10221.85085,108.7161616,10439.17673,243375.2065,99.21046191,1128984.613,108.1858346
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,10,g10000,3.83,f383,239181.6458,97.50098174,1105947.441,105.9782795,0.000429914,10032.72799,106.7047146,10231.3132,239181.6458,97.50098174,1105947.441,105.9782795
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.1,c100,0.12,a12,233754.8999,95.28880088,1087938.542,104.2525626,0.000429981,9878.142444,105.0605948,9998.949903,233754.8999,95.28880088,1087938.542,104.2525626
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.1,c100,0.38,b38,261097.6455,106.4349092,1076779.411,103.1832302,0.000429677,9847.56082,104.735339,9736.968029,261097.6455,106.4349092,1076779.411,103.1832302
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.1,c100,1.21,c121,255323.2893,104.0810271,1039485.407,99.60950306,0.000429944,9658.455078,102.724074,9347.64669,255323.2893,104.0810271,1039485.407,99.60950306
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.316,d316,0.12,a12,232989.6259,94.97684148,1051855.019,100.7948309,0.000429917,9455.905955,100.5698298,9602.315263,232989.6259,94.97684148,1051855.019,100.7948309
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.316,d316,0.38,b38,242771.6818,98.96443863,1042211.434,99.87072678,0.000429983,9546.292429,101.5311499,9548.637307,242771.6818,98.96443863,1042211.434,99.87072678
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.316,d316,1.21,c121,201518.1553,82.14768284,1002001.963,96.01762269,0.000429894,9158.299856,97.40459159,9142.175121,201518.1553,82.14768284,1002001.963,96.01762269
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,1,e1000,0.12,a12,230311.4485,93.88509831,1016304.932,97.38821594,0.00043006,9328.78052,99.21776649,9331.852048,230311.4485,93.88509831,1016304.932,97.38821594
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,1,e1000,0.38,b38,226476.7653,92.32191242,1004100.735,96.21873918,0.00043002,9148.088071,97.29598249,9088.530847,226476.7653,92.32191242,1004100.735,96.21873918
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,1,e1000,1.21,c121,225329.1908,91.85411045,1016217.796,97.37986607,0.000429971,9202.165703,97.87113396,9347.031137,225329.1908,91.85411045,1016217.796,97.37986607
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,3.162,f3162,0.12,a12,228852.3225,93.29029425,969609.3139,92.91357174,0.000429999,8603.949604,91.50870909,8773.134472,228852.3225,93.29029425,969609.3139,92.91357174
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,3.162,f3162,0.38,b38,216404.0144,88.21581515,1009399.588,96.72650595,0.000429726,9156.730934,97.38790507,9363.931246,216404.0144,88.21581515,1009399.588,96.72650595
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,3.162,f3162,1.21,c121,225361.4688,91.86726841,974711.4228,93.40248532,0.000429951,8834.145386,93.95699387,9026.692327,225361.4688,91.86726841,974711.4228,93.40248532
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,10,g10000,0.12,a12,203615.3338,83.00258524,956392.6583,91.64707537,0.000429871,8719.40993,92.73670621,8786.350446,203615.3338,83.00258524,956392.6583,91.64707537
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,10,g10000,0.38,b38,225661.4711,91.98956255,963239.7484,92.30320314,0.000429817,8755.886797,93.12466187,8880.236075,225661.4711,91.98956255,963239.7484,92.30320314
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,10,g10000,1.21,c121,213237.5078,86.9250075,956825.4041,91.68854357,0.000429744,8689.701146,92.42073359,8764.993364,213237.5078,86.9250075,956825.4041,91.68854357
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.001,a1,3.83,f383,2643845.027,52.19498625,7961123.329,56.24442464,0.000429898,103895.2381,95.7672324,51555.86157,1607087.718,31.72724591,12010216.77,84.85080614
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.001,a1,0,zero,5065323.735,100,14154511.1,100,0.00042953,108487.2513,100,109065.194,5065323.735,100,14154511.1,100
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.001,a1,0.12,a12,4553132.608,89.88828447,13616523.31,96.19917789,0.000430063,107264.3659,98.87278415,105425.4603,4868168.704,96.10775065,13642404.53,96.38202571
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.001,a1,0.38,b38,4745876.616,93.69345109,13642539.73,96.38298094,0.000430035,104593.6451,96.41100113,108404.2747,5077904.108,100.2483627,13831731.77,97.71960101
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.001,a1,1.21,c121,5029967.327,99.30199116,12842607.41,90.7315507,0.000429987,107561.5217,99.14669267,87558.33213,4065311.939,80.25769233,14078591.08,99.46363376
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.1,c100,3.83,f383,3206972.211,63.31228523,10658053.12,75.29792476,0.000429906,110414.7501,101.7767053,74066.70453,2806683.968,55.4097648,13429287.3,94.87637688
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.316,d316,3.83,f383,4143208.372,81.79552955,13327052.93,94.15410276,0.000429961,112632.8243,103.8212535,98312.15127,3967044.661,78.3176924,14363430.55,101.475992
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,1,e1000,3.83,f383,4724102.761,93.26359001,14925326.83,105.4457249,0.00042989,113915.9851,105.0040293,115395.8014,4724102.761,93.26359001,14925326.83,105.4457249
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,3.162,f3162,3.83,f383,4955183.134,97.82559602,14701070.28,103.861378,0.000429941,113983.0928,105.0658869,113317.8621,4955183.134,97.82559602,14701070.28,103.861378
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,10,g10000,3.83,f383,4927215.357,97.27345409,14707369.15,103.9058788,0.000429402,115140.9641,106.1331748,112920.5592,4927215.357,97.27345409,14707369.15,103.9058788
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.1,c100,0.12,a12,5055104.13,99.79824381,14766250.84,104.3218712,0.000429667,114610.8676,105.6445491,113105.1976,5079435.449,100.2785945,14785477.79,104.4577074
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.1,c100,0.38,b38,4907702.217,96.88822421,14692766.26,103.8027111,0.00042995,114326.9063,105.3828029,112333.0371,4903812.201,96.81142722,14753703.14,104.2332232
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.1,c100,1.21,c121,4674755.58,92.28937429,13920290.07,98.34525522,0.000430009,114044.3232,105.1223271,103588.2395,4576876.951,90.35704707,14585445.99,103.0445057
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.316,d316,0.12,a12,5049755.256,99.69264593,14945053.01,105.5850881,0.000429975,114362.6502,105.4157505,114850.6932,5056130.103,99.81849863,14962662.48,105.7094969
